"guid";"company_name";"entity_type";"std";"phone";"street";"city";"region";"country";"email"
"37752546-D2DE-BF82-2002-B7D82C9DA506";"DUI LECTUS RUTRUM";"INDUSTRIES";"INC";"(869) 511-7697";"8823 Enim Avenue";"Gulfport";"MS";"Uganda";"sem.ut.dolor@urna.co.uk"
"FD733780-24DB-15A6-770B-4C8BD2C6DF38";"ODIO A";"INDUSTRIES";"INC";"814-5662";"P.O. Box 732, 6812 Lorem, St.";"Kilsyth";"Stirlingshire";"Montserrat";"rhoncus@eudui.edu"
"DA33BDFC-3708-8E90-571F-EC49D41FF798";"MAURIS ELIT";"CONSULTING";"";"604-3268";"P.O. Box 679, 2729 Rutrum Av.";"Columbia";"Missouri";"Svalbard and Jan Mayen Islands";"enim@veliteu.co.uk"
"EC06791A-2B56-75CF-79D5-D426BAE37BA0";"LIBERO NEC";"LIMITED";"LLC";"1-760-978-7443";"Ap #129-1500 Risus. Avenue";"Hamburg";"Hamburg";"Dominican Republic";"malesuada@lacusQuisquepurus.net"
"1ED305F1-945E-373C-26D4-1BB250455C70";"ANTE DICTUM";"INCORPORATED";"INC";"635-9460";"P.O. Box 172, 2160 Imperdiet Road";"Vienna";"Vienna";"Syria";"neque.Sed@egetlaoreet.org"
"CBF2B69C-EE5F-0924-6F86-D9ED417DD567";"SUSPENDISSE SED DOLOR";"CONSULTING";"";"502-7386";"Ap #443-388 Etiam Av.";"Mombaruzzo";"PIE";"Guyana";"et.lacinia@purus.org"
"AD5958FF-1FF8-363B-E86A-0AD6D1B07FD5";"ULTRICIES ORNARE";"ASSOCIATES";"";"1-646-355-2374";"Ap #833-2918 Ridiculus Road";"Vienna";"Vienna";"Macao";"Ut.tincidunt.vehicula@ac.com"
"3B0F7746-A112-6F8A-E9D7-D7822FE195A1";"CUM SOCIIS NATOQUE";"PC";"";"749-9592";"P.O. Box 150, 6928 Nulla. Rd.";"Drancy";"Île-de-France";"Italy";"Nullam@odio.org"
"12369A5C-6004-37B9-7D64-5D5256547DDD";"TEMPUS RISUS DONEC";"COMPANY";"CO";"1-303-796-4455";"P.O. Box 964, 172 Urna. Rd.";"Kearney";"NE";"Tajikistan";"et.lacinia@nonummy.edu"
"27A40736-9B53-20ED-BD15-093494A570BE";"A";"LLC";"LLC";"613-6040";"579-1299 Morbi Ave";"Angoulême";"Poitou-Charentes";"Cocos (Keeling) Islands";"Maecenas@iaculis.com"
